tipo,timestamp,media,desv
frecuencia,2025-07-31T22:32:48,125.00,0.00
frecuencia,2025-07-31T22:32:49,120.50,6.36
frecuencia,2025-07-31T22:32:50,120.00,4.58
frecuencia,2025-07-31T22:32:51,124.25,9.29
frecuencia,2025-07-31T22:32:52,122.60,8.85
frecuencia,2025-07-31T22:32:53,120.33,9.67
frecuencia,2025-07-31T22:32:54,122.14,10.04
frecuencia,2025-07-31T22:32:55,117.75,15.52
frecuencia,2025-07-31T22:32:56,119.22,15.17
frecuencia,2025-07-31T22:32:57,119.00,14.32
frecuencia,2025-07-31T22:32:58,123.36,19.85
frecuencia,2025-07-31T22:32:59,119.92,22.38
frecuencia,2025-07-31T22:33:00,116.23,25.21
frecuencia,2025-07-31T22:33:01,116.57,24.26
frecuencia,2025-07-31T22:33:02,112.80,27.56
frecuencia,2025-07-31T22:33:03,115.62,28.93
frecuencia,2025-07-31T22:33:04,114.18,28.64
frecuencia,2025-07-31T22:33:05,111.83,29.51
frecuencia,2025-07-31T22:33:06,111.53,28.71
frecuencia,2025-07-31T22:33:07,112.50,28.28
frecuencia,2025-07-31T22:33:08,115.24,30.29
frecuencia,2025-07-31T22:33:09,114.14,30.00
frecuencia,2025-07-31T22:33:10,116.52,31.47
frecuencia,2025-07-31T22:33:11,116.21,30.81
frecuencia,2025-07-31T22:33:12,114.96,30.80
frecuencia,2025-07-31T22:33:13,116.31,30.95
frecuencia,2025-07-31T22:33:14,117.11,30.64
frecuencia,2025-07-31T22:33:15,119.00,31.68
frecuencia,2025-07-31T22:33:16,120.10,31.68
frecuencia,2025-07-31T22:33:17,119.30,31.43
frecuencia,2025-07-31T22:33:18,119.37,31.45
frecuencia,2025-07-31T22:33:19,119.53,31.44
frecuencia,2025-07-31T22:33:20,119.87,31.49
frecuencia,2025-07-31T22:33:21,121.30,33.23
frecuencia,2025-07-31T22:33:22,120.50,33.65
frecuencia,2025-07-31T22:33:23,120.80,33.58
frecuencia,2025-07-31T22:33:24,120.90,33.62
frecuencia,2025-07-31T22:33:25,122.63,33.15
frecuencia,2025-07-31T22:33:26,123.37,33.58
frecuencia,2025-07-31T22:33:27,123.17,33.64
frecuencia,2025-07-31T22:33:28,121.60,32.61
frecuencia,2025-07-31T22:33:29,122.03,32.15
frecuencia,2025-07-31T22:33:30,123.50,30.76
frecuencia,2025-07-31T22:33:31,123.87,30.79
frecuencia,2025-07-31T22:33:32,127.03,28.82
frecuencia,2025-07-31T22:33:33,127.53,29.50
frecuencia,2025-07-31T22:33:34,127.83,29.16
frecuencia,2025-07-31T22:33:35,127.90,29.03
frecuencia,2025-07-31T22:33:36,129.63,29.23
frecuencia,2025-07-31T22:33:37,130.83,30.01
frecuencia,2025-07-31T22:33:38,129.63,29.10
frecuencia,2025-07-31T22:33:39,131.47,28.30
frecuencia,2025-07-31T22:33:40,129.20,27.91
frecuencia,2025-07-31T22:33:41,130.83,28.12
frecuencia,2025-07-31T22:33:42,131.97,26.87
frecuencia,2025-07-31T22:33:43,131.53,26.67
frecuencia,2025-07-31T22:33:44,132.93,28.09
frecuencia,2025-07-31T22:33:45,132.43,27.53
frecuencia,2025-07-31T22:33:46,130.60,28.08
frecuencia,2025-07-31T22:33:47,132.67,27.73
